"Date","Price","Open","High","Low","Change %"
"Dec 30, 2019","119.457","119.796","120.022","118.586","-0.31%"
"Dec 29, 2019","119.825","119.992","119.992","119.825","-0.23%"
"Dec 27, 2019","120.105","119.182","120.167","119.024","0.94%"
"Dec 26, 2019","118.991","118.896","119.313","118.760","0.11%"
"Dec 25, 2019","118.861","118.969","118.969","118.861","-0.09%"
"Dec 24, 2019","118.969","118.594","119.073","118.214","0.41%"
"Dec 23, 2019","118.480","118.986","119.358","118.392","-0.40%"
"Dec 22, 2019","118.957","118.891","118.998","118.891","0.12%"
"Dec 20, 2019","118.809","118.651","118.897","118.223","-0.05%"
"Dec 19, 2019","118.863","118.704","119.103","118.143","0.13%"
"Dec 18, 2019","118.705","119.532","119.935","118.515","-0.59%"
"Dec 17, 2019","119.413","120.761","121.027","119.402","-0.73%"
"Dec 16, 2019","120.291","120.113","120.682","119.235","0.13%"
"Dec 15, 2019","120.140","120.222","120.245","120.137","-0.27%"
"Dec 13, 2019","120.470","117.833","120.929","117.605","1.72%"
"Dec 12, 2019","118.430","120.441","120.526","117.719","-1.80%"
"Dec 11, 2019","120.600","119.737","120.687","119.660","0.57%"
"Dec 10, 2019","119.920","119.833","120.309","119.448","0.20%"
"Dec 09, 2019","119.683","117.449","119.863","117.350","1.94%"
"Dec 08, 2019","117.404","117.410","117.467","117.387","0.03%"
"Dec 06, 2019","117.370","117.972","118.343","117.042","-0.69%"
"Dec 05, 2019","118.182","118.666","118.901","117.756","-0.26%"
"Dec 04, 2019","118.491","119.819","119.950","118.160","-1.11%"
"Dec 03, 2019","119.823","117.692","120.084","117.268","2.07%"
"Dec 02, 2019","117.391","118.245","118.305","117.162","-0.70%"
"Dec 01, 2019","118.222","118.283","118.283","118.222","-0.69%"
"Nov 29, 2019","119.042","118.983","119.416","118.554","0.04%"
"Nov 28, 2019","118.999","119.204","119.204","118.957","-0.17%"
"Nov 27, 2019","119.204","119.439","119.570","118.864","-0.27%"
"Nov 26, 2019","119.528","118.323","119.625","118.165","1.08%"
"Nov 25, 2019","118.252","117.202","118.456","116.974","0.86%"
"Nov 24, 2019","117.242","117.264","117.264","117.236","-0.07%"
"Nov 22, 2019","117.325","117.375","117.956","117.117","-0.05%"
"Nov 21, 2019","117.380","118.424","118.791","117.017","-0.73%"
"Nov 20, 2019","118.240","118.745","119.648","118.089","-0.16%"
"Nov 19, 2019","118.428","117.695","118.573","117.473","0.60%"
"Nov 18, 2019","117.726","117.583","118.018","116.905","0.13%"
"Nov 17, 2019","117.571","117.509","117.629","117.509","0.19%"
"Nov 15, 2019","117.346","117.304","117.667","116.926","-0.24%"
"Nov 14, 2019","117.625","117.095","118.607","116.978","0.20%"
"Nov 13, 2019","117.386","116.342","117.473","116.212","0.63%"
"Nov 12, 2019","116.652","116.326","116.652","115.651","0.29%"
"Nov 11, 2019","116.309","115.988","116.309","115.955","0.28%"
"Nov 10, 2019","115.988","115.988","115.988","115.988","0.00%"
"Nov 08, 2019","115.988","115.815","116.916","115.785","-0.27%"
"Nov 07, 2019","116.304","117.204","117.391","115.022","-0.91%"
"Nov 06, 2019","117.375","116.591","117.454","116.572","1.46%"
"Nov 05, 2019","115.690","116.984","117.088","115.597","-1.26%"
"Nov 04, 2019","117.165","118.322","118.322","117.032","-1.04%"
"Nov 03, 2019","118.391","118.391","118.391","118.391","-0.00%"
"Nov 01, 2019","118.392","118.915","119.032","117.903","-0.46%"
"Oct 31, 2019","118.938","117.974","119.966","117.829","0.94%"
"Oct 30, 2019","117.835","116.438","118.247","116.204","1.29%"
"Oct 29, 2019","116.336","116.551","117.161","116.230","-0.07%"
"Oct 28, 2019","116.414","117.317","117.317","116.213","-0.75%"
"Oct 27, 2019","117.294","117.301","117.312","117.289","-0.05%"
"Oct 25, 2019","117.355","118.261","118.336","117.320","-0.61%"
"Oct 24, 2019","118.075","117.711","118.428","117.441","0.30%"
"Oct 23, 2019","117.723","118.407","118.913","117.537","-0.24%"
"Oct 22, 2019","118.008","117.497","118.188","117.218","0.43%"
"Oct 21, 2019","117.498","117.810","117.892","117.008","-0.35%"
"Oct 20, 2019","117.910","117.915","117.970","117.910","0.03%"
"Oct 18, 2019","117.880","118.309","118.724","117.748","-0.22%"
"Oct 17, 2019","118.140","118.439","118.735","117.356","0.00%"
"Oct 16, 2019","118.136","118.830","119.372","118.136","-0.54%"
"Oct 15, 2019","118.781","117.826","118.879","116.788","0.79%"
"Oct 14, 2019","117.853","117.088","117.907","117.088","0.65%"
"Oct 13, 2019","117.088","117.088","117.088","117.088","0.00%"
"Oct 11, 2019","117.088","118.450","118.754","116.707","-1.14%"
"Oct 10, 2019","118.433","119.976","120.272","118.215","-1.06%"
"Oct 09, 2019","119.696","120.762","120.871","119.548","-0.76%"
"Oct 08, 2019","120.613","119.715","120.800","119.089","0.61%"
"Oct 07, 2019","119.881","120.949","121.048","119.699","-0.78%"
"Oct 06, 2019","120.827","120.736","120.863","120.736","0.05%"
"Oct 04, 2019","120.764","120.277","120.937","119.988","0.50%"
"Oct 03, 2019","120.164","119.106","120.630","119.070","0.94%"
"Oct 02, 2019","119.046","119.379","119.836","118.824","-0.23%"
"Oct 01, 2019","119.321","119.760","120.213","117.909","-0.33%"
"Sep 30, 2019","119.715","118.856","119.858","118.162","0.74%"
"Sep 29, 2019","118.838","118.803","118.838","118.755","-0.08%"
"Sep 27, 2019","118.938","119.536","119.950","118.715","-0.72%"
"Sep 26, 2019","119.797","118.937","119.925","118.937","0.93%"
"Sep 25, 2019","118.698","120.376","120.458","117.507","-1.32%"
"Sep 24, 2019","120.291","118.785","120.468","118.757","1.12%"
"Sep 23, 2019","118.964","118.140","119.616","117.712","0.85%"
"Sep 22, 2019","117.960","117.960","117.960","117.960","-0.00%"
"Sep 20, 2019","117.961","117.721","118.782","117.423","0.05%"
"Sep 19, 2019","117.902","116.426","117.918","116.129","1.09%"
"Sep 18, 2019","116.627","115.548","117.162","115.313","1.14%"
"Sep 17, 2019","115.309","115.033","115.929","114.790","0.36%"
"Sep 16, 2019","114.891","113.747","115.479","113.747","1.09%"
"Sep 15, 2019","113.657","113.657","113.657","113.657","-0.19%"
"Sep 13, 2019","113.869","116.223","116.326","113.809","-1.88%"
"Sep 12, 2019","116.050","115.662","117.505","115.100","-0.19%"
"Sep 11, 2019","116.270","116.286","116.742","115.825","-0.47%"
"Sep 10, 2019","116.817","117.803","118.252","115.912","-1.24%"
"Sep 09, 2019","118.288","119.053","119.053","112.497","-0.59%"
"Sep 08, 2019","118.994","119.170","119.170","118.994","-0.25%"
"Sep 06, 2019","119.294","118.889","119.410","117.899","0.51%"
"Sep 05, 2019","118.688","120.944","120.944","118.408","-1.89%"
"Sep 04, 2019","120.980","121.078","121.078","120.035","0.06%"
"Sep 03, 2019","120.909","121.356","122.965","120.424","-0.94%"
"Sep 02, 2019","122.059","121.653","122.059","121.653","0.33%"
"Sep 01, 2019","121.653","121.653","121.653","121.653","0.00%"
"Aug 30, 2019","121.653","121.819","121.933","120.807","0.10%"
"Aug 29, 2019","121.532","121.673","122.128","120.482","-0.19%"
"Aug 28, 2019","121.765","122.320","123.312","121.291","-0.24%"
"Aug 27, 2019","122.059","119.692","122.393","119.572","2.18%"
"Aug 26, 2019","119.459","120.562","121.549","119.363","-0.86%"
"Aug 25, 2019","120.494","120.676","120.676","120.494","0.58%"
"Aug 23, 2019","119.796","119.924","121.968","118.881","-0.14%"
"Aug 22, 2019","119.968","119.368","120.414","118.506","0.29%"
"Aug 21, 2019","119.620","119.803","120.177","118.924","-0.17%"
"Aug 20, 2019","119.829","118.963","120.057","118.744","0.94%"
"Aug 19, 2019","118.716","117.678","119.256","116.800","0.85%"
"Aug 18, 2019","117.721","117.907","117.907","117.721","-1.27%"
"Aug 16, 2019","119.239","119.513","119.804","118.074","-0.17%"
"Aug 15, 2019","119.440","118.227","120.104","118.174","1.07%"
"Aug 14, 2019","118.170","116.765","119.377","116.494","0.90%"
"Aug 13, 2019","117.113","117.010","117.895","116.563","-0.19%"
"Aug 12, 2019","117.333","115.270","117.470","115.213","1.90%"
"Aug 11, 2019","115.147","115.147","115.147","115.147","0.00%"
"Aug 09, 2019","115.146","115.172","115.792","114.881","0.32%"
"Aug 08, 2019","114.783","115.473","115.473","113.468","-1.05%"
"Aug 07, 2019","116.003","115.410","117.483","114.966","1.23%"
"Aug 06, 2019","114.592","118.566","118.602","114.479","-2.33%"
"Aug 05, 2019","117.329","115.506","118.075","115.489","1.56%"
"Aug 04, 2019","115.528","115.447","115.528","115.447","0.14%"
"Aug 02, 2019","115.367","114.137","115.784","114.137","0.82%"
"Aug 01, 2019","114.434","112.535","114.761","112.085","1.54%"
"Jul 31, 2019","112.703","111.723","113.358","111.613","0.99%"
"Jul 30, 2019","111.595","112.313","112.673","111.457","-0.73%"
"Jul 29, 2019","112.413","112.112","112.546","112.018","0.28%"
"Jul 28, 2019","112.096","112.054","112.119","112.054","0.23%"
"Jul 26, 2019","111.838","111.198","112.044","111.048","0.59%"
"Jul 25, 2019","111.182","112.529","113.081","111.027","-1.18%"
"Jul 24, 2019","112.504","111.716","112.570","111.716","0.55%"
"Jul 23, 2019","111.888","111.529","112.322","110.856","0.31%"
"Jul 22, 2019","111.540","111.292","111.995","111.259","0.13%"
"Jul 21, 2019","111.390","111.373","111.415","111.373","-0.00%"
"Jul 19, 2019","111.393","111.256","112.017","110.945","0.11%"
"Jul 18, 2019","111.267","111.585","111.832","110.791","-0.19%"
"Jul 17, 2019","111.474","110.459","111.786","110.400","1.18%"
"Jul 16, 2019","110.170","110.434","110.550","109.695","-0.23%"
"Jul 15, 2019","110.429","109.604","110.537","109.521","0.26%"
"Jul 14, 2019","110.144","110.144","110.144","110.144","0.00%"
"Jul 12, 2019","110.144","109.633","110.144","109.265","0.27%"
"Jul 11, 2019","109.850","111.252","111.497","109.414","-1.14%"
"Jul 10, 2019","111.118","111.505","111.658","110.610","-0.50%"
"Jul 09, 2019","111.676","111.825","111.882","111.111","-0.14%"
"Jul 08, 2019","111.838","112.691","113.138","111.529","-0.74%"
"Jul 07, 2019","112.668","112.573","112.668","112.573","0.22%"
"Jul 05, 2019","112.425","113.917","113.975","111.855","-1.32%"
"Jul 04, 2019","113.929","113.733","113.929","113.733","0.17%"
"Jul 03, 2019","113.733","113.244","113.807","113.188","0.60%"
"Jul 02, 2019","113.058","112.635","113.140","112.427","0.66%"
"Jul 01, 2019","112.313","111.496","112.481","111.379","0.65%"
"Jun 30, 2019","111.583","111.522","111.595","111.522","-0.47%"
"Jun 28, 2019","112.107","112.118","112.353","111.880","-0.20%"
"Jun 27, 2019","112.328","111.172","112.328","110.754","1.17%"
"Jun 26, 2019","111.026","111.777","111.791","110.687","-0.69%"
"Jun 25, 2019","111.798","112.008","112.557","111.662","0.46%"
